model,latency
Mistral-7B-Instruct-v0.1,0.5291587970924817
claude-2.1,1.2556561779979507
command,0.5038244478342749
Nous-Hermes-2-Mixtral-8x7B-DPO,29.886207558875764
Mixtral-8x7B-Instruct-v0.1,20.0105577324841
vicuna-13b-v1.5,1.5893434526091637
gpt-4-1106-preview,0.832350274219507
gpt-4-0613,1.6039140989721514
gpt-4-0314,0.9914188094435058
CodeLlama-34b-Instruct-hf,1.4054723645114395
gpt-3.5-turbo-1106,2.521070432550044
Yi-34B-Chat,2.4769338955621185
llama-2-13b-chat-hf,0.7715245669493689
vicuna-7b-v1.5,0.3015993774319101
oasst-sft-4-pythia-12b-epoch-3.5,0.6340913295695207
WizardLM-70b-v1.0,5.322911590982319
claude-2,1.671165835209822
gpt4all-13b-snoozy,4.506929020234733
koala-13B-HF,1.6386575550611795
deepseek-llm-7b-chat,0.2600891604278143
Wizard-Vicuna-13B-Uncensored-HF,0.6014363966500333
sheep-duck-llama-2-70b-v1.1,3.763820790136406
zephyr-7b-beta,1.8467722653416982
mistral-medium,2.9898881757554214
tulu-2-dpo-7b,1.3138667622591849
llama-2-7b-chat-hf,0.8613345876245815
sheep-duck-llama-2-13b,3.2657276892531946
WizardLM-13b-v1.2,2.601694252621719
openchat-3.5-0106,0.2972074152097889
claude-instant-1.2,0.9463051759971367
zephyr-7b-alpha,1.5859638806375
deepseek-llm-67b-chat,1.7252334322193008
falcon-7b-instruct,2.7543020515259604
SUS-Chat-34B,1.0628226926108275
vicuna-33b-v1.3,1.1146606339135257
openchat-3.5-1210,0.37821639084114905
tulu-2-dpo-70b,6.358550688356174
llama-2-70b-chat-hf,1.8426368746250785
claude-v1.3,0.956840438858933
gpt-3.5-turbo-0613,3.4504057014124836
openchat_3.5,0.3164935419860314
