,game,model,experiment,episode,metric,value
0,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Precision,
1,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Recall,
2,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,F1,
3,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Main Score,
4,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Average Changed Cell Count,
5,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Average Generated Instruction Length,
6,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Average Generated Expression Number of Tokens,
7,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Success,0.0
8,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Lose,0.0
9,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Aborted,1.0
10,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Request Count,2.0
11,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Violated Request Count,1.0
12,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Parsed Request Count,1.0
13,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_0,Request Success Ratio,0.5
14,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Precision,100.0
15,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Recall,8.0
16,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,F1,14.0
17,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Main Score,14.0
18,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Average Changed Cell Count,1.8
19,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Average Generated Instruction Length,42.0
20,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Average Generated Expression Number of Tokens,9.0
21,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Success,0.0
22,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Lose,1.0
23,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Aborted,0.0
24,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Request Count,10.0
25,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Violated Request Count,0.0
26,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Parsed Request Count,10.0
27,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_1,Request Success Ratio,1.0
